id,sex,ses,marital,profession,education,GIS1,GIS2,GIS3,GIS4,GIS5,GIS6,GIS7,GIS8,GIS9,GIS10,GIS11,GIS12,GIS13,GIS14,GIS15,GIS16,GIS17,GIS18,GIS19,GIS20,GIS21,Age
1,1,2,1,3,5,4,3,3,3,3,3,4,4,3,4,3,4,4,3,3,3,3,3,4,3,3,72
2,1,2,1,1,3,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,3,3,0,4,4,4,69
3,1,2,3,1,3,4,3,4,4,3,3,3,4,4,4,3,4,4,3,3,4,3,3,4,4,4,64
4,1,2,1,1,3,4,3,0,3,3,4,4,4,0,3,3,3,3,3,3,4,3,0,3,3,3,66
5,0,1,1,5,5,3,4,4,3,3,4,4,4,4,3,4,3,4,4,4,4,3,3,4,4,4,61
6,1,1,2,2,5,4,3,3,4,4,4,3,3,4,3,3,3,3,3,3,4,4,4,3,3,3,62
7,1,2,2,1,1,4,4,3,3,3,4,4,3,4,3,3,3,3,4,3,4,4,3,4,3,3,69
8,1,2,2,1,3,3,3,4,4,3,3,3,4,4,1,3,3,3,3,3,4,4,3,4,3,3,65
9,1,1,1,3,5,4,3,3,3,3,3,3,4,4,3,3,3,4,3,3,4,3,3,4,3,3,62
10,1,2,1,1,3,4,3,3,3,1,3,3,3,4,3,3,4,3,4,4,4,4,3,4,3,3,62
11,1,2,1,3,5,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,4,3,4,4,4,71
12,1,1,1,4,5,3,3,3,3,3,3,4,3,4,3,3,4,4,3,3,4,4,3,3,3,3,67
13,1,1,2,3,5,4,4,4,3,3,3,4,4,4,4,4,4,3,3,3,4,4,3,4,4,3,67
14,1,1,1,3,5,3,3,3,4,3,3,4,4,4,3,3,3,3,3,4,4,4,3,4,4,4,62
15,1,2,1,2,1,4,3,4,4,3,4,3,4,4,1,3,4,4,3,4,4,4,1,4,3,3,60
16,1,1,1,4,5,3,3,3,3,3,3,3,4,4,3,3,3,4,3,3,4,3,3,3,3,3,70
17,1,2,1,3,5,4,3,1,3,3,3,4,4,4,3,3,3,3,3,3,4,4,3,3,3,4,67
18,1,2,1,1,2,3,3,4,4,3,3,4,4,4,3,3,4,4,3,3,4,4,3,4,3,3,63
19,1,2,1,1,5,4,3,3,3,3,3,4,4,4,3,3,3,4,1,3,4,4,1,4,3,3,66
20,1,2,1,2,1,4,3,3,3,3,4,4,4,4,3,3,3,4,3,3,4,4,1,4,4,4,65
21,1,1,1,3,5,3,3,4,4,3,3,3,4,4,3,3,4,3,3,3,4,4,3,4,3,3,63
22,1,2,1,3,1,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,61
23,1,2,1,1,4,3,3,1,3,3,3,3,3,3,1,4,4,4,4,4,3,3,1,3,1,3,61
24,0,1,3,5,5,3,2,3,2,3,3,1,3,3,2,3,3,3,2,1,3,3,3,2,2,1,62
25,1,1,1,1,1,4,4,3,4,4,3,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,73
26,1,1,1,4,5,3,3,4,3,3,4,3,1,3,3,3,2,1,2,3,3,3,3,3,3,3,71
27,1,1,1,4,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,60
28,1,1,1,5,5,4,3,4,4,4,4,4,4,2,4,4,4,4,4,4,0,4,3,4,4,4,57
29,1,1,1,4,5,4,4,4,4,3,4,2,4,3,4,4,3,3,3,4,3,2,3,3,3,3,64
30,1,1,1,4,5,4,4,4,4,4,1,2,0,2,4,4,4,4,4,4,0,4,4,4,4,4,64
31,1,1,1,4,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,62
32,1,1,1,4,5,4,4,4,4,3,2,3,3,3,3,4,4,4,4,4,3,3,3,4,4,4,65
